331,1,0,3,0,0,2,6,0,4,6,1,0,0,4,0,5,4,10,0,7,2,1,2,6,0
0,303,0,11,0,4,7,6,1,1,4,0,1,0,0,0,0,16,23,0,0,1,0,5,0,0
0,0,245,0,21,5,16,0,0,0,53,0,3,0,8,0,0,0,5,1,11,0,0,0,0,0
1,16,0,318,3,3,1,16,0,3,0,0,0,3,26,1,0,2,1,2,2,0,0,4,0,1
0,0,13,0,224,2,29,0,0,3,39,0,0,0,0,0,4,3,30,8,0,0,0,18,0,11
0,6,1,6,2,289,7,4,0,6,0,0,0,0,0,14,0,3,19,20,1,0,2,1,6,1
0,3,100,11,2,2,178,0,0,0,28,0,4,0,1,3,6,16,16,0,0,4,12,1,0,0
0,15,1,25,0,5,7,144,0,3,38,0,3,60,10,3,6,15,0,3,11,1,1,15,1,0
0,1,2,7,1,7,0,0,272,26,1,1,0,0,0,1,0,0,40,0,0,0,0,18,0,1
0,2,2,8,0,1,0,4,9,315,0,0,0,0,7,0,5,0,14,1,0,0,0,3,0,3
1,3,1,10,0,0,6,4,0,0,279,0,0,0,0,0,1,33,2,0,11,0,0,19,0,0
0,1,5,15,5,0,13,1,0,0,19,291,0,0,0,0,8,1,14,1,0,0,0,7,0,0
4,4,0,0,0,0,1,6,0,0,8,0,328,22,0,1,1,6,0,0,3,0,12,0,0,0
2,1,0,11,0,0,1,12,0,0,14,0,11,296,8,1,0,1,0,0,17,7,6,0,4,0
4,0,4,27,0,0,11,12,0,1,1,0,1,0,277,4,4,3,0,0,9,0,19,0,0,0
0,1,0,15,0,32,10,0,1,3,3,0,0,0,2,303,4,0,2,1,0,10,7,0,8,0
9,4,0,1,1,0,28,2,0,8,2,1,0,0,42,0,240,5,38,0,0,2,1,0,4,4
0,86,0,10,0,0,7,23,0,1,33,0,4,0,12,0,1,198,2,0,0,0,0,2,0,0
1,19,1,4,6,12,7,5,1,4,1,6,0,0,0,0,6,0,270,8,0,0,0,5,0,18
0,0,0,3,5,10,10,2,0,0,12,0,0,0,0,5,0,1,9,263,9,1,0,9,52,7
0,0,1,1,0,0,0,4,0,0,5,0,12,3,1,0,0,1,0,0,370,0,9,0,0,0
0,4,0,0,0,0,2,5,0,0,1,0,1,3,0,3,0,5,0,0,3,294,15,0,46,0
0,1,0,0,0,0,2,1,0,0,1,0,20,6,0,0,0,1,0,0,3,6,335,0,0,0
0,4,0,15,10,0,27,1,8,3,13,0,0,0,4,0,16,1,22,5,4,0,0,258,1,2
0,1,0,4,0,17,0,1,0,1,0,0,4,0,0,2,12,0,10,85,8,9,0,10,229,0
0,1,2,2,10,1,0,0,0,20,0,2,0,0,0,0,1,1,54,4,0,0,0,3,0,266
